Name,Version,Publisher,Suite Name,Suite Version,EOL Date,EOL Details
Microsoft Visual Studio 2015 Shell (Minimum) Resources,14.0.23107,Microsoft Corporation,Microsoft Visual Studio,2015,2025-10-15,Extended support ends.
Microsoft Visual Studio 2015 XAML Designer,14.0.23107,Microsoft Corporation,Microsoft Visual Studio,2015,2025-10-15,Extended support ends.
Microsoft Visual Studio 2015 XAML Designer - ENU,14.0.23107,Microsoft Corporation,Microsoft Visual Studio,2015,2025-10-15,Extended support ends.
Microsoft Visual Studio Code,1.97.2,Microsoft Corporation,Microsoft Visual Studio,2015,Version Dependent,Support varies by release year. Newer versions are supported.
Microsoft Visual Studio Code,1.60.0,Microsoft Corporation,Microsoft Visual Studio,2015,Version Dependent,Support varies by release year. Newer versions are supported.
Microsoft Visual Studio Services Hub,1.0.23107.00,Microsoft Corporation,Microsoft Visual Studio,2015,Version Dependent,Support varies by release year. Newer versions are supported.
Microsoft Visual Studio Tools for Applications 2015,14.0.23829,Microsoft Corporation,Microsoft Visual Studio,2015,2025-10-15,Extended support ends.
Microsoft Visual Studio Tools for Applications 2015 Finalizer,14.0.23829,Microsoft Corporation,Microsoft Visual Studio,2015,2025-10-15,Extended support ends.
Microsoft Visual Studio Tools for Applications 2015 Language Support,14.0.23107.20,Microsoft Corporation,Microsoft Visual Studio,2015,2025-10-15,Extended support ends.
Microsoft Visual Studio Tools for Applications 2015 Language Support - ENU Language Pack,14.0.23107.20,Microsoft Corporation,Microsoft Visual Studio,2015,2025-10-15,Extended support ends.
Microsoft Visual Studio Tools for Applications 2015 Language Support Finalizer,14.0.23107.20,Microsoft Corporation,Microsoft Visual Studio,2015,2025-10-15,Extended support ends.
Microsoft Visual Studio Tools for Applications 2015 x64 Hosting Support,14.0.23829,Microsoft Corporation,Microsoft Visual Studio,2015,2025-10-15,Extended support ends.
Microsoft Visual Studio Tools for Applications 2015 x86 Hosting Support,14.0.23829,Microsoft Corporation,Microsoft Visual Studio,2015,2025-10-15,Extended support ends.
Microsoft Windows Desktop Runtime - 6.0.14 (x64),6.0.14.32124,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Windows Desktop Runtime - 6.0.14 (x64),48.59.55235,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Windows Desktop Runtime - 6.0.25 (x86),6.0.25.33020,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Windows Desktop Runtime - 6.0.25 (x86),48.100.4037,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Windows Desktop Runtime - 6.0.32 (x64),6.0.32.33814,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Windows Desktop Runtime - 6.0.32 (x64),48.128.16742,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Windows Desktop Runtime - 8.0.11 (x64),8.0.11.34221,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Windows Desktop Runtime - 8.0.11 (x64),64.44.23253,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Word MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
mIRC,7.47,mIRC Co. Ltd.,,,Not Researched,Information not available for individual software or unlisted suites.
Mission Controller,20.0.0.240,JSIL,,,Not Researched,Information not available for individual software or unlisted suites.
MOVINT Client 1.00.18.8,1.00.18.8,Northrop Grumman,,,Not Researched,Information not available for individual software or unlisted suites.
Mozilla Firefox ESR (x64 en-US),102.7.0,Mozilla,,,Not Researched,Information not available for individual software or unlisted suites.
Mozilla Maintenance Service,102.7.0,Mozilla,,,Not Researched,Information not available for individual software or unlisted suites.
MTOP Client,24.2.0.187,Citrix Systems, Inc.,,,Version Dependent,Current Releases (CR) reach EOL 18 months after release.
MUSE Aircraft Modules,20.0.0.170,JSIL,MUSE Suite,20,Not Researched,Information not available for individual software or unlisted suites.
MUSE Aircraft Player,20.0.0.170,JSIL,MUSE Suite,20,Not Researched,Information not available for individual software or unlisted suites.
MUSE Builder,20.0.0.117,JSIL,MUSE Suite,20,Not Researched,Information not available for individual software or unlisted suites.
MUSE Client,19.4.1.228,JSIL,MUSE Suite,19,Not Researched,Information not available for individual software or unlisted suites.
MUSE DIS Game Interface,19.3.2.217,JSIL,MUSE Suite,19,Not Researched,Information not available for individual software or unlisted suites.
MUSE DIS Viewer Module,1.2.1.40,JSIL,,,Not Researched,Information not available for individual software or unlisted suites.
MUSE FFI Payload,1.2.0.167,JSIL,,,Not Researched,Information not available for individual software or unlisted suites.
MUSE FMV Payload Player,20.0.0.117,JSIL,MUSE Suite,20,Not Researched,Information not available for individual software or unlisted suites.
MUSE HUD Player,20.0.0.114,JSIL,MUSE Suite,20,Not Researched,Information not available for individual software or unlisted suites.
MUSE MTI Viewer Module,2.2.0.622,JSIL,,,Not Researched,Information not available for individual software or unlisted suites.
MUSE SAR MTI Payload,2.2.0.622,JSIL,,,Not Researched,Information not available for individual software or unlisted suites.
MUSE Service,3.0.1.156,JSIL,,,Not Researched,Information not available for individual software or unlisted suites.
MUSE Visual Player,2.6.0.471,JSIL,,,Not Researched,Information not available for individual software or unlisted suites.
MUSE Weapon Payload Player,20.0.0.107,JSIL,MUSE Suite,20,Not Researched,Information not available for individual software or unlisted suites.
MUSE-AFSERS 10.0.3,10.0.3.488,JSIL,,,Not Researched,Information not available for individual software or unlisted suites.
MUSE.Cleanup,10.0.3.488,JSIL,,,Not Researched,Information not available for individual software or unlisted suites.
MUSE.Supplements,10.0.3.488,JSIL,,,Not Researched,Information not available for individual software or unlisted suites.
MUSE/Connect,2.0.2.511,JSIL,,,Not Researched,Information not available for individual software or unlisted suites.
NCCT Operations Interface,5.0.2.5,L-3 ComCept,,,Not Researched,Information not available for individual software or unlisted suites.
NetLink,9.10.2.63,JSIL,,,Not Researched,Information not available for individual software or unlisted suites.
Notepad++ (64-bit x64),8.5.7,Notepad++ Team,,,Not Researched,Information not available for individual software or unlisted suites.
Notepad++ (64-bit x64),8.4.5,Notepad++ Team,,,Not Researched,Information not available for individual software or unlisted suites.
Notepad++ (64-bit x64),8,Notepad++ Team,,,Not Researched,Information not available for individual software or unlisted suites.
Npcap,1.79,Nmap Project,,,Not Researched,Information not available for individual software or unlisted suites.
Npcap,1.78,Nmap Project,,,Not Researched,Information not available for individual software or unlisted suites.
Npcap,1.77,Nmap Project,,,Not Researched,Information not available for individual software or unlisted suites.
Npcap,1.71,Nmap Project,,,Not Researched,Information not available for individual software or unlisted suites.
Npcap,1.55,Nmap Project,,,Not Researched,Information not available for individual software or unlisted suites.
Npcap,1.31,Nmap Project,,,Not Researched,Information not available for individual software or unlisted suites.
Npcap,1.31,Nmap Project,,,Not Researched,Information not available for individual software or unlisted suites.
Omnissa Horizon Client,8.14.0.20607,Omnissa, LLC,Omnissa Horizon,8.14.0,Version Dependent,Support varies by branch. E.g., v2212 support ends July 12, 2026.
Omnissa Workspace ONE Experience Management,24.12.0.4073,Omnissa,Omnissa Horizon,24.12.0,Version Dependent,Support is version-specific.
Online Plug-in,24.2.0.187,Citrix Systems, Inc.,,,Version Dependent,Current Releases (CR) reach EOL 18 months after release.
Online Plug-in,19.12.5000.3,Citrix Systems, Inc.,,,2024-12-31,EOL for 1912 LTSR.
OpenSSH,7.4.5176,Ultra Electronics Inc,,,Not Researched,Information not available for individual software or unlisted suites.
Outils de vérification linguistique 2016 de Microsoft Office- Français,16.0.4266.1001,Microsoft Corporation,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
PDSM 18-1_PB-01.P10 Build 1.0.1.1,22.08.19.1859,NISSC,,,Not Researched,Information not available for individual software or unlisted suites.
PDSM 18-1_PB-01.P7 Build 1.0.0.0,21.08.07.0304,NISSC,,,Not Researched,Information not available for individual software or unlisted suites.
PowerShell 7-x64,7.4.1.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
PuTTY release 0.76 (64-bit),0.76.0.0,Simon Tatham,,,Not Researched,Information not available for individual software or unlisted suites.
Python 3.10.3 Add to Path (64-bit),3.10.3150.0,Python Software Foundation,Python,3.1,2026-10-31,End of support.
Python 3.10.3 Core Interpreter (64-bit),3.10.3150.0,Python Software Foundation,Python,3.1,2026-10-31,End of support.
Python 3.10.3 Development Libraries (64-bit),3.10.3150.0,Python Software Foundation,Python,3.1,2026-10-31,End of support.
Python 3.10.3 Documentation (64-bit),3.10.3150.0,Python Software Foundation,Python,3.1,2026-10-31,End of support.
Python 3.10.3 Executables (64-bit),3.10.3150.0,Python Software Foundation,Python,3.1,2026-10-31,End of support.
Python 3.10.3 pip Bootstrap (64-bit),3.10.3150.0,Python Software Foundation,Python,3.1,2026-10-31,End of support.
Python 3.10.3 Standard Library (64-bit),3.10.3150.0,Python Software Foundation,Python,3.1,2026-10-31,End of support.
Python 3.10.3 Tcl/Tk Support (64-bit),3.10.3150.0,Python Software Foundation,Python,3.1,2026-10-31,End of support.
Python 3.10.3 Test Suite (64-bit),3.10.3150.0,Python Software Foundation,Python,3.1,2026-10-31,End of support.
Python 3.10.3 Utility Scripts (64-bit),3.10.3150.0,Python Software Foundation,Python,3.1,2026-10-31,End of support.
Python Launcher,3.10.7744.0,Python Software Foundation,,,2026-10-31,End of support.
Roslyn Language Services - x86,14.0.23107,Microsoft Corporation,Microsoft Visual Studio,2015,Not Researched,Information not available for individual software or unlisted suites.
Roxio Creator Audio,3.7.0,Roxio,Roxio Creator,10.3,Not Researched,Information not available for individual software or unlisted suites.
Roxio Creator Copy,3.7.0,Roxio,Roxio Creator,10.3,Not Researched,Information not available for individual software or unlisted suites.
Roxio Creator Data,3.7.0,Roxio,Roxio Creator,10.3,Not Researched,Information not available for individual software or unlisted suites.
Roxio Creator DE 10.3,3.7.0,Roxio,Roxio Creator,10.3,Not Researched,Information not available for individual software or unlisted suites.
Roxio Creator DE ,10.3,Roxio,Roxio Creator,10.3,Not Researched,Information not available for individual software or unlisted suites.
Roxio Creator Tools,3.7.0,Roxio,Roxio Creator,10.3,Not Researched,Information not available for individual software or unlisted suites.
Roxio Express Labeler 3,3.2.2,Roxio,,,Not Researched,Information not available for individual software or unlisted suites.
Roxio Update Manager,6.0.0,Roxio,,,Not Researched,Information not available for individual software or unlisted suites.
SCAP Compliance Checker ,5.10.1,NIWC Atlantic,,,Not Researched,Information not available for individual software or unlisted suites.
SCAP Compliance Checker,5.11,NIWC Atlantic,,,Not Researched,Information not available for individual software or unlisted suites.
SCAP Compliance Checker ,5.3,SPAWAR Systems Center Atlantic,,,Not Researched,Information not available for individual software or unlisted suites.
SDB GBU-39 Plug-In  (32-bit, .NET 4.5, USA),3.5.0.2,The Boeing Company,,,Not Researched,Information not available for individual software or unlisted suites.
SDB GBU-39 Plug-In (32-bit, .NET 4.5, USA),3.5.1.4,The Boeing Company,,,Not Researched,Information not available for individual software or unlisted suites.
Self-service Plug-in,24.2.0.92,Citrix Systems, Inc.,,,Version Dependent,Current Releases (CR) reach EOL 18 months after release.
Self-service Plug-in,19.12.5000.2,Citrix Systems, Inc.,,,2024-12-31,EOL for 1912 LTSR.
SIMDIS,10.0 SR16,US Naval Research Laboratory,,,Not Researched,Information not available for individual software or unlisted suites.
Simio 15.240.27825,15.240.27825,Simio LLC,,,Not Researched,Information not available for individual software or unlisted suites.
SlimDX Runtime .NET 4.0 x64 (January 2012),2.0.13.43,SlimDX Group,,,Not Researched,Information not available for individual software or unlisted suites.
SQL Server 2017 RC1 Batch Parser,14.0.800.90,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
SQL Server 2017 RC1 Client Tools Extensions,14.0.800.90,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
SQL Server 2017 RC1 Common Files,14.0.800.90,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
SQL Server 2017 RC1 Connection Info,14.0.800.90,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
SQL Server 2017 RC1 DMF,14.0.800.90,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
SQL Server 2017 RC1 Integration Services Scale Out Management Portal,14.0.800.77,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
SQL Server 2017 RC1 Management Studio Extensions,14.0.800.90,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
SQL Server 2017 RC1 Shared Management Objects,14.0.800.90,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
SQL Server 2017 RC1 Shared Management Objects Extensions,14.0.800.90,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
SQL Server 2017 RC1 SQL Diagnostics,14.0.800.90,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
SQL Server 2017 RC1 XEvent,14.0.800.90,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
SQL Server Management Studio,14.0.17177.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
SQL Server Management Studio for Analysis Services,14.0.17177.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
SQL Server Management Studio for Reporting Services,14.0.17177.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
SSMS Post Install Tasks,14.0.17177.0,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
STIG Viewer,2.18,Unknown,,,Not Researched,Information not available for individual software or unlisted suites.
STIG Viewer,2.17,Unknown,,,Not Researched,Information not available for individual software or unlisted suites.
Tactical Receive Segment (TRS),7.1.11.24213,NIWC Pacific,,,Not Researched,Information not available for individual software or unlisted suites.
Tactical Receive Segment (TRS),7.0.2.20034,NIWC Pacific,,,Not Researched,Information not available for individual software or unlisted suites.
TacViewC2 ,11.8.0.11,Ultra Electronics Inc,,,Not Researched,Information not available for individual software or unlisted suites.
Tools for .Net 3.5,3.11.50727,Microsoft Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
TOP-T,2.2.022.3055,CCDC,,,Not Researched,Information not available for individual software or unlisted suites.
TransVerse ,v1.8 Build 534.1,Trident Systems,,,Not Researched,Information not available for individual software or unlisted suites.
VanDyke Software SecureCRT ,9.0.2,VanDyke Software, Inc.,,,Not Researched,Information not available for individual software or unlisted suites.
VanDyke Software SecureCRT ,9.4.1,VanDyke Software, Inc.,,,Not Researched,Information not available for individual software or unlisted suites.
VanDyke Software SecureCRT ,9.6.3,VanDyke Software, Inc.,,,Not Researched,Information not available for individual software or unlisted suites.
Vidyo Desktop 3.6.20,3.6.20,Vidyo Inc.,,,Not Researched,Information not available for individual software or unlisted suites.
Viper version ,15.64.230429,Battlespace Simulations,,,Not Researched,Information not available for individual software or unlisted suites.
ViPRS,3.3.0.151,JSIL,,,Not Researched,Information not available for individual software or unlisted suites.
Visual Studio 2015 Prerequisites,14.0.23107,Microsoft Corporation,Microsoft Visual Studio,2015,2025-10-15,Extended support ends.
Visual Studio 2015 Prerequisites - ENU Language Pack,14.0.23107,Microsoft Corporation,Microsoft Visual Studio,2015,2025-10-15,Extended support ends.
VLC media player,3.0.16,VideoLAN,,,Not Researched,Information not available for individual software or unlisted suites.
VLC media player,1.0.5,VideoLAN Team,,,Not Researched,Information not available for individual software or unlisted suites.
VMware Dynamic Environment Manager Enterprise,10.9.0.1105,VMware, Inc.,VMware Horizon,10.9.0,Version Dependent,Support is version-specific.
VMware Dynamic Environment Manager Enterprise,10.7.0.1063,VMware, Inc.,VMware Horizon,10.7.0,Version Dependent,Support is version-specific.
VMware Horizon Client,8.9.0.35399,VMware, Inc.,VMware Horizon,8.9.0,Version Dependent,Support varies by branch. E.g., v2212 support ends July 12, 2026.
VMware Horizon Client,8.13.0.8174,VMware, Inc.,VMware Horizon,8.13.0,Version Dependent,Support varies by branch. E.g., v2212 support ends July 12, 2026.
VMware Horizon HTML5 Multimedia Redirection Client,8.9.0,VMware, Inc.,VMware Horizon,8.9.0,Version Dependent,Support varies by branch. E.g., v2212 support ends July 12, 2026.
VMware Horizon HTML5 Multimedia Redirection Client,8.13.0,VMware, Inc.,VMware Horizon,8.13.0,Version Dependent,Support varies by branch. E.g., v2212 support ends July 12, 2026.
VMware Horizon Media Redirection for Microsoft Teams,8.9.0,VMware, Inc.,VMware Horizon,8.9.0,Version Dependent,Support varies by branch. E.g., v2212 support ends July 12, 2026.
VMware Remote Console,12.0.2,VMware, Inc.,,,Not Researched,Information not available for individual software or unlisted suites.
VMware Remote Console,12.0.1,VMware, Inc.,,,Not Researched,Information not available for individual software or unlisted suites.
WAVE Desktop Communicator R2,5.19.0.133,Motorola Solutions, Inc.,,,Not Researched,Information not available for individual software or unlisted suites.
WAVE Desktop Communicator R2,5.12.0.74884,Twisted Pair Solutions,,,Not Researched,Information not available for individual software or unlisted suites.
Weapon Plug-In Interfaces  (32-bit, .NET 4.5, USA),5.11.0.1,The Boeing Company,,,Not Researched,Information not available for individual software or unlisted suites.
Weapon Plug-In Interfaces  (32-bit, .NET 4.5, USA),5.12.2.1,The Boeing Company,,,Not Researched,Information not available for individual software or unlisted suites.
WinPcap ,4.1.0.2980,U.S. Army AMC/RDECOM/AMRDEC/SED,,,Not Researched,Information not available for individual software or unlisted suites.
WinSCP ,5.13.2,Martin Prikryl,,,Not Researched,Information not available for individual software or unlisted suites.
WinSCP ,5.19.6,Martin Prikryl,,,Not Researched,Information not available for individual software or unlisted suites.
WinSCP ,5.21.1,Martin Prikryl,,,Not Researched,Information not available for individual software or unlisted suites.
WinSCP,5.21.7,Martin Prikryl,,,Not Researched,Information not available for individual software or unlisted suites.
WinTAK,5.1.0.155,TAK Product Center (TPC),,,Not Researched,Information not available for individual software or unlisted suites.
WinTAK,4.4.2.177,PAR Government Systems Corporation,,,Not Researched,Information not available for individual software or unlisted suites.
WinTAK,4.10.0.169,TAK Product Center (TPC),,,Not Researched,Information not available for individual software or unlisted suites.
Wireshark,3.4.7.0,The Wireshark developer community, https://www.wireshark.org/,,,Not Researched,Information not available for individual software or unlisted suites.
Wireshark ,3.6.3,The Wireshark developer community, https://www.wireshark.org,,,Not Researched,Information not available for individual software or unlisted suites.
Wireshark ,4.0.4,The Wireshark developer community, https://www.wireshark.org,,,Not Researched,Information not available for individual software or unlisted suites.
Wireshark ,4.0.8,The Wireshark developer community, https://www.wireshark.org,,,Not Researched,Information not available for individual software or unlisted suites.
Wireshark ,4.2.5,The Wireshark developer community, https://www.wireshark.org,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft DCF MUI (English) 2016,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Office Professional Plus 2016                                  ,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Microsoft OneNote MUI (English) 2016,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Access database engine 2016 (English)     ,16.0.5044.1000   ,Microsoft,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Office OSM MUI (English) 2016 ,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Microsoft Office OSM UX MUI (English) 2016,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Microsoft InfoPath MUI (English) 2016,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Access MUI (English) 2016  ,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Office Shared Setup Metadata MUI (English) 2016,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Microsoft Excel MUI (English) 2016,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2016,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Microsoft Access Setup Metadata MUI (English) 2016,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft PowerPoint MUI (English) 2016,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Publisher MUI (English) 2016,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Outlook MUI (English) 2016,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Office 64-bit Components 2016,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Microsoft Office Shared 64-bit MUI (English) 2016,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Microsoft Groove MUI (English) 2016,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Word MUI (English) 2016,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Skype for Business MUI (English) 2016,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Office Proofing (English) 2016,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Microsoft Office Shared MUI (English) 2016,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Microsoft Office Proofing Tools 2016 - English,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Herramientas de corrección de Microsoft Office 2016: español,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Outils de vérification linguistique 2016 de Microsoft Office,16.0.4266.1001    ,Microsoft,Microsoft Office 2016,16.0.4266.1001,2025-10-14,All support, including security fixes, will end.
Trellix Endpoint Security Threat Prevention                                ,10.7.0          ,Trellix,Trellix Endpoint Security,10.7.0,Version Dependent,The overarching platform is active, but legacy versions are EOL.
Trellix Agent                                                               ,5.08.1002      ,Trellix,Trellix Endpoint Security,10.7.0,Version Dependent,The overarching platform is active, but legacy versions are EOL.
Microsoft Windows Desktop Runtime - 8.0.11 (x64),64.44.23253,Microsoft,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft .NET Host FX Resolver - 8.0.11 (x64),64.44.23191,Microsoft,,,Not Researched,Information not available for individual software or unlisted suites.
Omnissa Horizon Agent                                                          ,8.14.0      ,Omnissa,Omnissa Horizon,8.14.0,Version Dependent,Support varies by branch. E.g., v2212 support ends July 12, 2026.
Microsoft Visual C++ 2010  x64 Redistributable  ,10.0.40219      ,Microsoft,,,Not Researched,Information not available for individual software or unlisted suites.
Omnissa Horizon Client                                                        ,8.14.0.20607 ,Omnissa,Omnissa Horizon,8.14.0,Version Dependent,Support varies by branch. E.g., v2212 support ends July 12, 2026.
Microsoft Visual C++ 2010  x86 Redistributable,10.0.40219    ,Microsoft,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2013 x86 Minimum Runtime     ,12.0.21005        ,Microsoft,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2013 x86 Additional Runtime     ,12.0.21005       ,Microsoft,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Edge ,133.0.3065.82,Microsoft,,,Not Researched,Information not available for individual software or unlisted suites.
64 Bit HP CIO Components Installer                                        ,22.2.1    ,HP,,,Not Researched,Information not available for individual software or unlisted suites.
WinTAK,5.1.0.155 ,TAK Product Center (TPC),,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft NetBanner                                                            ,2.3.181    ,Microsoft,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2022 X86 Additional Runtime,14.38.33135      ,Microsoft,,,Not Researched,Information not available for individual software or unlisted suites.
Omnissa Horizon Agent Direct-Connection Plugin ,8.14.0,Omnissa,Omnissa Horizon,8.14.0,Version Dependent,Support varies by branch. E.g., v2212 support ends July 12, 2026.
Omnissa Workspace ONE Experience Management,24.12.0.4073,Omnissa,Omnissa Horizon,24.12.0,Version Dependent,Support is version-specific.
Designer ,6.5,Adobe,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2022 X64 Additional Runtime ,14.38.33135 ,Microsoft,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual Studio 2010 Tools for Office Runtime (x64),10.0.50908  ,Microsoft,Microsoft Visual Studio,2015,Version Dependent,Support varies by release year. Newer versions are supported.
Trellix Policy Auditor Agent                                                        ,6.5.5 ,Trellix,Trellix Endpoint Security,10.7.0,Version Dependent,The overarching platform is active, but legacy versions are EOL.
Titus Classification (64 bit)                                                 ,22.10.2332.3 ,Titus,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2022 X64 Minimum Runtime,14.38.33135       ,Microsoft,,,Not Researched,Information not available for individual software or unlisted suites.
Horizon HTML5 Multimedia Redirection Client                                         ,8.14.0 ,Omnissa,,,Version Dependent,Support varies by branch. E.g., v2212 support ends July 12, 2026.
Adobe Acrobat                                                                ,23.003.20244  ,Adobe,,,Not Researched,Information not available for individual software or unlisted suites.
Trellix Endpoint Security Adaptive Threat Protection                             ,10.7.0    ,Trellix,Trellix Endpoint Security,10.7.0,Version Dependent,The overarching platform is active, but legacy versions are EOL.
Axway Desktop Validator                                                         ,5.2,Axway,,,Not Researched,Information not available for individual software or unlisted suites.
VMware Tools                                                              ,12.4.0.23259341  ,Broadcom,,,Not Researched,Information not available for individual software or unlisted suites.
Trellix Data Exchange Layer for TA                                          ,6.0.31021.0  ,Trellix,Trellix Endpoint Security,10.7.0,Version Dependent,The overarching platform is active, but legacy versions are EOL.
App Volumes Agent                                                               ,4.16.0.1487,Omnissa,,,Not Researched,Information not available for individual software or unlisted suites.
Trellix Endpoint Security Firewall                                                ,10.7.0  ,Trellix,Trellix Endpoint Security,10.7.0,Version Dependent,The overarching platform is active, but legacy versions are EOL.
Google Chrome                                                            ,135.0.7049.42   ,Google,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2022 X86 Minimum Runtime       ,14.38.33135   ,Microsoft,,,Not Researched,Information not available for individual software or unlisted suites.
Microsoft Visual C++ 2012 x86 Additional Runtime          ,11.0.61030 ,Microsoft,,,Not Researched,Information not available for individual software or unlisted suites.
Omnissa Dynamic Environment Manager Enterprise                                ,10.14.0.2237 ,Omnissa,Omnissa Horizon,10.14.0,Version Dependent,Support is version-specific.
Microsoft .NET Host - 8.0.11 (x64)  ,64.44.23191 ,Microsoft,,,Not Researched,Information not available for individual software or unlisted suites.
Trellix Endpoint Security Platform                                        ,10.7.0           ,Trellix,Trellix Endpoint Security,10.7.0,Version Dependent,The overarching platform is active, but legacy versions are EOL.
Microsoft Visual C++ 2012 x86 Minimum Runtime   ,11.0.61030        ,Microsoft,,,Not Researched,Information not available for individual software or unlisted suites.
